# k1/kF k2/kF k3/kF P(k1) P(k2)       P(k3)       B0        BSN    N_tr    B2      B4
# 
7 5 2 1.90599930e+02 2.49657516e+02 2.85095215e+02 -1.30376143e+04 0.00000000e+00 4.43000000e+03 1.20420195e+05 -4.02079969e+05
7 5 3 1.90599930e+02 2.49657516e+02 4.02876801e+02 1.89473859e+05 0.00000000e+00 7.36800000e+03 -4.32195688e+05 4.87731094e+05
7 5 4 1.90599930e+02 2.49657516e+02 2.98621796e+02 1.79267766e+05 0.00000000e+00 1.20480000e+04 -3.93998344e+05 3.83653375e+05
7 5 5 1.90599930e+02 2.49657516e+02 2.49657516e+02 -2.30895332e+04 0.00000000e+00 1.61520000e+04 3.07567871e+03 1.14936633e+05
7 6 1 1.90599930e+02 2.07778030e+02 1.49714310e+02 6.32688828e+04 0.00000000e+00 2.63400000e+03 -1.09543172e+05 3.89625312e+04
7 6 2 1.90599930e+02 2.07778030e+02 2.85095215e+02 1.46179625e+05 0.00000000e+00 7.03200000e+03 -2.87427125e+05 1.79752531e+05
7 6 3 1.90599930e+02 2.07778030e+02 4.02876801e+02 7.61423125e+04 0.00000000e+00 7.96800000e+03 -1.62290203e+05 1.61229484e+05
7 6 4 1.90599930e+02 2.07778030e+02 2.98621796e+02 8.74615781e+04 0.00000000e+00 1.29120000e+04 -1.66846312e+05 9.63290000e+04
7 6 5 1.90599930e+02 2.07778030e+02 2.49657516e+02 3.74107773e+04 0.00000000e+00 1.72320000e+04 -1.05553570e+05 1.64475250e+05
7 6 6 1.90599930e+02 2.07778030e+02 2.07778030e+02 6.22162891e+04 0.00000000e+00 1.85040000e+04 -1.38469125e+05 1.41341078e+05
7 7 1 1.90599930e+02 1.90599930e+02 1.49714310e+02 -1.04962180e+05 0.00000000e+00 4.22400000e+03 1.36454203e+05 1.25393586e+05
7 7 2 1.90599930e+02 1.90599930e+02 2.85095215e+02 8.24098047e+04 0.00000000e+00 8.11200000e+03 -1.43585391e+05 2.83753145e+04
7 7 3 1.90599930e+02 1.90599930e+02 4.02876801e+02 3.60331797e+04 0.00000000e+00 8.78400000e+03 -8.28293984e+04 8.90790312e+04
7 7 4 1.90599930e+02 1.90599930e+02 2.98621796e+02 1.63689734e+05 0.00000000e+00 1.52400000e+04 -3.18319000e+05 2.01246047e+05
7 7 5 1.90599930e+02 1.90599930e+02 2.49657516e+02 1.37142484e+05 0.00000000e+00 1.99200000e+04 -2.93856094e+05 2.62733281e+05
7 7 6 1.90599930e+02 1.90599930e+02 2.07778030e+02 -9.46886133e+03 0.00000000e+00 2.10720000e+04 2.09593535e+04 -2.05191250e+04
7 7 7 1.90599930e+02 1.90599930e+02 1.90599930e+02 2.15035906e+05 0.00000000e+00 2.47440000e+04 -4.55543250e+05 4.03246938e+05
8 4 3 1.61821243e+02 2.98621796e+02 4.02876801e+02 -5.42335250e+05 0.00000000e+00 1.44000000e+02 9.24750375e+05 -1.42891719e+05
8 4 4 1.61821243e+02 2.98621796e+02 2.98621796e+02 3.91158500e+05 0.00000000e+00 5.63400000e+03 -8.16178750e+05 7.08563562e+05
8 5 2 1.61821243e+02 2.49657516e+02 2.85095215e+02 3.46467875e+05 0.00000000e+00 4.56000000e+02 -8.89189562e+05 1.23809800e+06
8 5 3 1.61821243e+02 2.49657516e+02 4.02876801e+02 -4.80451914e+04 0.00000000e+00 5.35800000e+03 9.91269844e+04 -7.97863906e+04
8 5 4 1.61821243e+02 2.49657516e+02 2.98621796e+02 2.80638750e+04 0.00000000e+00 1.34880000e+04 -6.61398672e+04 6.97726562e+04
8 5 5 1.61821243e+02 2.49657516e+02 2.49657516e+02 1.95046211e+04 0.00000000e+00 1.78320000e+04 -6.59343516e+04 1.36067125e+05
8 6 1 1.61821243e+02 2.07778030e+02 1.49714310e+02 1.70255250e+05 0.00000000e+00 2.64000000e+02 -4.93709625e+05 8.03992188e+05
8 6 2 1.61821243e+02 2.07778030e+02 2.85095215e+02 1.07410500e+05 0.00000000e+00 5.76600000e+03 -1.62338125e+05 -4.42534258e+04
8 6 3 1.61821243e+02 2.07778030e+02 4.02876801e+02 1.92445203e+05 0.00000000e+00 8.65200000e+03 -3.85872812e+05 2.69111875e+05
8 6 4 1.61821243e+02 2.07778030e+02 2.98621796e+02 7.92432422e+04 0.00000000e+00 1.45200000e+04 -1.70418609e+05 1.43830594e+05
8 6 5 1.61821243e+02 2.07778030e+02 2.49657516e+02 1.19032219e+05 0.00000000e+00 1.91520000e+04 -2.37615016e+05 1.74671859e+05
8 6 6 1.61821243e+02 2.07778030e+02 2.07778030e+02 -6.21076758e+04 0.00000000e+00 2.05680000e+04 1.33018109e+05 -1.18151195e+05
8 7 1 1.61821243e+02 1.90599930e+02 1.49714310e+02 -9.25422500e+04 0.00000000e+00 3.42600000e+03 2.08487719e+05 -1.95771016e+05
8 7 2 1.61821243e+02 1.90599930e+02 2.85095215e+02 6.85118828e+04 0.00000000e+00 9.07200000e+03 -1.74394219e+05 2.34533953e+05
8 7 3 1.61821243e+02 1.90599930e+02 4.02876801e+02 3.22709141e+04 0.00000000e+00 1.03200000e+04 -9.00342812e+04 1.46860188e+05
8 7 4 1.61821243e+02 1.90599930e+02 2.98621796e+02 5.34558359e+04 0.00000000e+00 1.65840000e+04 -1.31756609e+05 1.63371094e+05
8 7 5 1.61821243e+02 1.90599930e+02 2.49657516e+02 -2.04367520e+04 0.00000000e+00 2.21520000e+04 5.63428750e+04 -7.65661875e+04
8 7 6 1.61821243e+02 1.90599930e+02 2.07778030e+02 1.00788234e+05 0.00000000e+00 2.40240000e+04 -1.96882281e+05 1.24776992e+05
8 7 7 1.61821243e+02 1.90599930e+02 1.90599930e+02 -2.33488164e+04 0.00000000e+00 2.73360000e+04 5.55933633e+04 -6.57133203e+04
8 8 1 1.61821243e+02 1.61821243e+02 1.49714310e+02 2.20824727e+04 0.00000000e+00 5.16000000e+03 -5.57649648e+04 6.30037852e+04
8 8 2 1.61821243e+02 1.61821243e+02 2.85095215e+02 9.43865234e+03 0.00000000e+00 1.02000000e+04 2.26551699e+04 -1.44614750e+05
8 8 3 1.61821243e+02 1.61821243e+02 4.02876801e+02 2.98359219e+05 0.00000000e+00 1.12560000e+04 -5.90966000e+05 4.02315688e+05
8 8 4 1.61821243e+02 1.61821243e+02 2.98621796e+02 -2.30941152e+04 0.00000000e+00 1.85760000e+04 8.80360547e+03 9.56432891e+04
8 8 5 1.61821243e+02 1.61821243e+02 2.49657516e+02 1.29573164e+05 0.00000000e+00 2.50080000e+04 -2.36757938e+05 1.01459406e+05
8 8 6 1.61821243e+02 1.61821243e+02 2.07778030e+02 7.27026953e+04 0.00000000e+00 2.59440000e+04 -1.38395766e+05 7.77208750e+04
8 8 7 1.61821243e+02 1.61821243e+02 1.90599930e+02 6.15128828e+04 0.00000000e+00 3.07680000e+04 -1.18154016e+05 7.20327500e+04
8 8 8 1.61821243e+02 1.61821243e+02 1.61821243e+02 5.74751172e+04 0.00000000e+00 3.42720000e+04 -1.24188969e+05 1.19396781e+05
9 4 4 1.51647842e+02 2.98621796e+02 2.98621796e+02 -4.31681625e+05 0.00000000e+00 3.84000000e+02 9.42842875e+05 -8.96668625e+05
